"category","full_name","prize_year","age"
"Economics","Ragnar Frisch",1969,74
"Economics","Jan Tinbergen",1969,66
"Literature","Samuel Beckett",1969,63
"Medicine","Max Delbrück",1969,63
"Medicine","Alfred D. Hershey",1969,61
"Medicine","Salvador E. Luria",1969,57
"Peace","International Labour Organization (I.L.O.)",1969,NA
"Physics","Murray Gell-Mann",1969,40
"Chemistry","Luis F. Leloir",1970,64
"Economics","Paul A. Samuelson",1970,55
"Literature","Aleksandr Isayevich Solzhenitsyn",1970,52
"Medicine","Sir Bernard Katz",1970,59
"Medicine","Ulf von Euler",1970,65
"Medicine","Julius Axelrod",1970,58
"Peace","Norman E. Borlaug",1970,56
"Physics","Hannes Olof Gösta Alfvén",1970,62
"Physics","Louis Eugène Félix Néel",1970,66
"Chemistry","Gerhard Herzberg",1971,67
"Economics","Simon Kuznets",1971,70
"Literature","Pablo Neruda",1971,67
"Medicine","Earl W. Sutherland, Jr.",1971,56
"Peace","Willy Brandt",1971,58
"Physics","Dennis Gabor",1971,71
"Chemistry","Christian B. Anfinsen",1972,56
"Chemistry","Stanford Moore",1972,59
"Chemistry","William H. Stein",1972,61
"Economics","John R. Hicks",1972,68
"Economics","Kenneth J. Arrow",1972,51
"Literature","Heinrich Böll",1972,55
"Medicine","Gerald M. Edelman",1972,43
"Medicine","Rodney R. Porter",1972,55
"Physics","John Bardeen",1972,64
"Physics","Leon Neil Cooper",1972,42
"Physics","John Robert Schrieffer",1972,41
"Chemistry","Ernst Otto Fischer",1973,55
"Chemistry","Geoffrey Wilkinson",1973,52
"Economics","Wassily Leontief",1973,67
"Literature","Patrick White",1973,61
"Medicine","Karl von Frisch",1973,87
"Medicine","Konrad Lorenz",1973,70
"Medicine","Nikolaas Tinbergen",1973,66
"Peace","Henry A. Kissinger",1973,50
"Peace","Le Duc Tho",1973,62
"Physics","Leo Esaki",1973,48
"Physics","Ivar Giaever",1973,44
"Physics","Brian David Josephson",1973,33
"Chemistry","Paul J. Flory",1974,64
"Economics","Gunnar Myrdal",1974,76
"Economics","Friedrich August von Hayek",1974,75
"Literature","Eyvind Johnson",1974,74
"Literature","Harry Martinson",1974,70
"Medicine","Albert Claude",1974,76
"Medicine","Christian de Duve",1974,57
"Medicine","Christian de Duve",1974,57
"Medicine","George E. Palade",1974,62
"Peace","Seán MacBride",1974,70
"Peace","Eisaku Sato",1974,73
"Physics","Sir Martin Ryle",1974,56
"Physics","Antony Hewish",1974,50
"Chemistry","John Warcup Cornforth",1975,58
"Chemistry","Vladimir Prelog",1975,69
"Economics","Leonid Vitaliyevich Kantorovich",1975,63
"Economics","Tjalling C. Koopmans",1975,65
"Literature","Eugenio Montale",1975,79
"Medicine","David Baltimore",1975,37
"Medicine","Renato Dulbecco",1975,61
"Medicine","Howard Martin Temin",1975,41
"Peace","Andrei Dmitrievich Sakharov",1975,54
"Physics","Aage Niels Bohr",1975,53
"Physics","Ben Roy Mottelson",1975,49
"Physics","Leo James Rainwater",1975,58
"Chemistry","William N. Lipscomb",1976,57
"Economics","Milton Friedman",1976,64
"Literature","Saul Bellow",1976,61
"Medicine","Baruch S. Blumberg",1976,51
"Medicine","D. Carleton Gajdusek",1976,53
"Peace","Betty Williams",1976,33
"Peace","Mairead Corrigan",1976,32
"Physics","Burton Richter",1976,45
"Physics","Samuel Chao Chung Ting",1976,40
